row_index,column_name,nonce_b64,tag_b64
0,id,L5SyWCAV8g2yc3oK,+x5MnhlR8GgTVJE3Emq93Q==
0,diagnosis,g5GK6r6rvBGDoxj4,mdzPB7e1yFens4JVcr88vA==
0,radius_mean,iLVjbbA7NZYfZwOb,6ryhQcuIBWpu1wtGwjG2AA==
0,texture_mean,pFZ8SbOYJ0Xy7v84,Gjg/NP5OvYJg2LoqBBp3Ig==
0,perimeter_mean,RvnZayGEO22UjjB3,3jofIQQTJrRn7n0ks/Lkkg==
0,area_mean,fS+x3Jr6HvfOOQMJ,Ei7sMbHVZEsNA3hrDTKV7Q==
0,smoothness_mean,tSRswUa4qzmgl0Bl,o7CcdHYyOfw3t/Yx2FobmA==
0,compactness_mean,JI3M1sfA6upcXyj3,QC3vkPrrrBfLUwKAYbr6vg==
0,concavity_mean,i7a+h3CIwM/2k1sU,hxZY79xSLWUv6PpsDjKBuw==
0,concave points_mean,UYMhMLmTSJwBBFfZ,M+DHkK3ReElBHqtV1Lpshg==
0,symmetry_mean,1hPNdxJ6WNlNuofG,p3Prb1pDQNg+lYtGxUBh/w==
0,fractal_dimension_mean,b+xJXtzvblxomrgB,86vUu9cqo4ET3xbqlrJttw==
0,radius_se,tEsoAzYe8+goH/J6,uHJzPx5tJ7q6lbudLdWaKQ==
0,texture_se,/aSyBRmT46ZUCjLw,RbHExJQQd6A75NkD6xswWg==
0,perimeter_se,EbYTXx6vUMPQ+PJ+,hnKmdh4Aj+6bdW+NtCRnVQ==
0,area_se,4nxYtz7Odb7RQtIr,eQ+jmOVXa2UyGq8vslnWZg==
0,smoothness_se,DyvPXDNBG4pdAsne,FHtYV0jNewjXJRV/AwPFpQ==
0,compactness_se,+BhuxiNDVM0/9yk1,I0WZSF0jznZhFL/WwWk5VQ==
0,concavity_se,5+j4cbKKz7UKQjzp,9zvAI6IpEnLmJoDQiFB4sw==
0,concave points_se,bMQJCnZ2bm1E3CAa,1Ugi/iAdieppUQOfMVTfYA==
0,symmetry_se,AbCm0lOs/GLYsRDi,dS+lqmNok5qpC46AdKVuBw==
0,fractal_dimension_se,Nv+pAuFnZEwsR9Ix,2M4+bOA3rCiNNzBnE/6BzQ==
0,radius_worst,fnf5ZdKZPWDtXNp2,u5ycUYslbgl4KbSAV4KhQg==
0,texture_worst,yZGrOjtKzPco9U8S,sp6eDcVyKH4jl8mEuFTc3g==
0,perimeter_worst,PtjTeAU+A34v4US5,pmAVFz98NQrzj67kLc8ukw==
0,area_worst,iU0IKcM/JioDlFcq,874jLHADd89v2SPyDFZFBA==
0,smoothness_worst,tPuQpXLMek/X5WOI,GDvlBZC6kwkFUKm+muTz8A==
0,compactness_worst,uBYCCMYTtAKobIcR,fp/4uycmrVb2CGb/jq3nww==
0,concavity_worst,uCMPpYOV443unQ9m,sqYGPVrvXbtC4g5TT8u1BQ==
0,concave points_worst,5RUPX/oexpWpLXZw,apiR0mlF7NOx6uQYvzOPnw==
0,symmetry_worst,vIxw5ZXbZx2HWauA,yb72bLrrDLMrdsEty1drlA==
0,fractal_dimension_worst,fdT1eXLMycgo7rFj,7osiSwNQ23lMtcDA1gPiyg==
1,id,/TjvMH1DEoUlKjiX,Ahxr1Zf4SBPkR9D/M/hCRA==
1,diagnosis,H7dNQivnHjBUuAFZ,+w/S0aegC8rOMG4Bdq+AIw==
1,radius_mean,15Pr/4hg+puYjzc3,rMqTMmUUh3iXA2rpllhTGA==
1,texture_mean,1txJFeeTkAPW+cBF,LcUi/K7ekxa6i/Q0jnjMDA==
1,perimeter_mean,lbxWJt7dEGOqsnQE,FrZD+ke9E/jt09qQn+rsSA==
1,area_mean,TmFqzynPNWNigjOE,DqPHEn8im/uYWf58yHo6/A==
1,smoothness_mean,N4KnXf1MiMfOYtia,+RsOZWmE0bWb7LgZSNirwg==
1,compactness_mean,Lt/UiRohJW8AtpJv,n+ZVvBroCR41kUgkw5ukHA==
1,concavity_mean,WFix+pIAoIy8g1Aj,s0UbuAHNCuktJhlEUuUGSg==
1,concave points_mean,AL9J+9eYaljH1Vxm,EL4/jtmyqBNpog5q7gcoFA==
1,symmetry_mean,2IQPmYWquCtvlIq5,6NHV+0EbdNILxRBw91RQ3Q==
1,fractal_dimension_mean,2D4ZTbDWFEvBDp3b,S8P9wbm6eEQr5HUc6zr6+A==
1,radius_se,FoY2hlfIw5QWz/CL,dX8KDpRmj7P94QN1nWkPYg==
1,texture_se,XWiQ6QTxNPi8hdla,/1P3owA18X4MMKwzeBmPyA==
1,perimeter_se,lI6tGx6Y6eD5UX/d,12t9BmG2TFJBwfzt9Sb57w==
1,area_se,SMcgo2NjG7nyW855,unFa+k3HTlxbYBQ+eyYsfQ==
1,smoothness_se,UXq3xizKW23FYLq7,Uhdn8cqQZJZK+iav8s0eEA==
1,compactness_se,hKhoQ8pEK3eZZxoP,aC3WcSra0xdx3wnwi/bIgA==
1,concavity_se,1DTGwp5Zmkl40HQ4,H7J62CUXpd/ndBIFpVaSFA==
1,concave points_se,b5KEDCJc/n743GH8,aflNfTm0Bxj/VqPswQyQQw==
1,symmetry_se,LUVtnCXhbwvFJVZd,TaxX8xX0/mjFawLXo3rVFA==
1,fractal_dimension_se,Vo1outbKo7WpaXMr,8t7pvZbv/cvSV4yllYBpbA==
1,radius_worst,oVE/r8eiTSm4lorw,tm8BHI7JIOOzbpZKc+h2nw==
1,texture_worst,qJC916tKYGmLuBZF,Wr1aNOVy5SBIUg7PsQVtCg==
1,perimeter_worst,3H8eSSbqeeT8HhFJ,grlieglsnTyJOT8A4Nk1eg==
1,area_worst,hd+p7z0P0EG4U6MT,QkX+vTjma/r8EDQzoA3B9Q==
1,smoothness_worst,zVik+Kye5KHhVaHG,1muBUXtCGn08RtYBVFLUVQ==
1,compactness_worst,5ATYHRhnj4kdS80y,9ZDvKlQT4SYTcky6ferFeg==
1,concavity_worst,CtPNtXeenlWOuWRA,WG8eOBjxjRPjT2jz3MNaWg==
1,concave points_worst,Ukg5GHDT82rGrxho,gvaCt2hSlr9i1BGgUHhcLw==
1,symmetry_worst,ANkJjeCEOIDHFlXj,Jy3lXDIXV7+BTqG31Y7cgg==
1,fractal_dimension_worst,1WLpHeStyDbC1puZ,SzstqihZg0Gt4umhbjF6xA==
2,id,jTxp4mjA8Se7DRfq,WdEN8tChb5IdN1xj02WYlw==
2,diagnosis,S00BA75e4iwkPN66,xdCPSG2m/etb8WPH0pgTaQ==
2,radius_mean,i2cExjQJGKVGAZ9k,M1iRgfDf0QAoZCdjQk3S4Q==
2,texture_mean,BHVuPEtqQ5dBmU5J,pp4zJGduEvuXlXQACPdiWg==
2,perimeter_mean,1mIq1kjkkBrZz0Yd,gAW/X5jr8uvDIr35iZFo5w==
2,area_mean,f1Q9StczB3Mm7dsW,UVF/wk+f6+ug4FiQerrVdA==
2,smoothness_mean,fsv305lvqg3AwGfl,xofcaqrUAv7or0VlemApkA==
2,compactness_mean,87guAG8Cl82tjWzw,ANo04G4TRnXZTLjFh89O4w==
2,concavity_mean,cuSGJRpkmppp+6Y0,U1JqTxBDyMLCprinL/4+bA==
2,concave points_mean,ggRtcXbslNhwJAOM,6RVUbOjvrQnv2SZf35936g==
2,symmetry_mean,tmgDCbX95Lx9erGB,FyIh8j96VUopID6UaNP3uQ==
2,fractal_dimension_mean,7OLtoZ6y3hWa6qQS,TdgSvR4Acpu2TXD4QYWDjw==
2,radius_se,/Y81/YPcZY4yScyI,m/K2q2mP/9Q1aM6KDIEFyg==
2,texture_se,Yut1O0g20izVZBum,D+X0W+Lsjhu6ovSI8HwlQg==
2,perimeter_se,Gs6TZDLhl1HMesOy,faST1IxHYkMnkdtRi0mxYg==
2,area_se,LxeWX0De/Ukdh6b2,Iq7R6sobMnHE96nd12k1Ig==
2,smoothness_se,ptAkNM9U+BFJkyno,dq+di078itsZh5MjYJJrZg==
2,compactness_se,YIV0IjGPgSFhCYFQ,gZiPDIaaDckmlABYELS1Uw==
2,concavity_se,j9HF/RS+VCpTQw7k,KPGnAOA9F8ZSP7cyjOf18g==
2,concave points_se,0bL6MSK3HNtOPsFX,XKymesOIHF4VPk5AC/x8rw==
2,symmetry_se,2pJgFz/+cU4bizLz,mLa8+uWWChSitGBr6n4KYQ==
2,fractal_dimension_se,8A3HyPbyhPCroibk,+uFH2wQ+eISRTmlk/PS/Mw==
2,radius_worst,0emdECpH++a1IIYo,sEwFSyz5vrRCjBfSm554RQ==
